,Week1,Week2,Week3,Week4,Week5,Week6,Week7,Week8,Week9,Week10,Week11,Week12,Week13,Week14,Week15,Week16,Week17,Week18,Week19,Week20,Week21,Week22,Week23,Week24,Week25,Week26,Week27,Week28,Week29,Week30,Week31,Week32,Week33,Week34,Week35,Week36,Week37,Week38,Week39,Week40,Week41,Week42,Week43,Week44,Week45,Week46,Week47,Week48,Week49,Week50,Week51,Week52,forecast_week_1,forecast_week_2,forecast_week_3,forecast_week_4,forecast_week_5,forecast_week_6,forecast_week_7,forecast_week_8,forecast_week_9,forecast_week_10,forecast_week_11,forecast_week_12,forecast_week_13,Mean Forecasted Revenue,Value Score,Stability Trend Score,Farmer Rating,Eligibility,Credit Score,Default Probability,Risk Category,Recommended Loan Amount,Loan Amt.
58,36042,28240,48165,80907,92459,63894,30708,39350,32644,62804,69499,60160,102745,70784,9994,6295,22657,43066,98681,37313,62950,61341,69090,60790,61224,67772,85722,74254,100971,95801,94641,83648,36196,0,31102,21840,38166,27068,26771,19485,20503,24795,25661,9096,6448,3259,10783,13064,13185,8304,11027,7105,12166.90936238161,12948.990739923167,13042.778511449318,13053.686949185805,13054.951201464164,13055.097663762266,13055.114630455053,13055.1165959238,13055.116823608998,13055.116849984672,13055.116853040097,13055.116853394054,13055.116853435055,12977.556145231389,0.051237191101014545,0.15475716232331763,0.20599435342433217,False,532.02632016926,0.7956741300534493,High Risk,16870.822988800806,0
59,18425,3963,6818,7638,3668,3001,1937,2538,841,3083,5196,5751,6685,6527,6106,9440,15905,7098,5830,9167,5477,5004,73468,115414,116021,106652,84041,85115,109853,127073,110212,73595,49833,15568,9823,13677,14453,6209,6419,5311,7020,6344,8858,6707,9054,6917,8368,7374,7220,7355,5793,6341,6346.29549716368,6347.96700595118,6348.61725408375,6348.870184483041,6348.968563860138,6349.0068286880805,6349.021711760871,6349.0275005047615,6349.029752023847,6349.030627746866,6349.03096835721,6349.031100836773,6349.031152364371,6348.68678060189,0.025063696217156924,0.19796414163102394,0.22302783784818087,False,539.9131868271029,0.7688335111001278,High Risk,8253.292814782457,0
60,54683,37994,32169,42626,34980,39848,33208,45646,14057,36845,18669,21066,19180,23919,46784,55910,47739,51457,31114,34958,91162,113102,119363,103024,107616,100687,112725,139415,129947,129606,110552,89837,38533,0,40157,67915,77860,72990,67502,42243,44572,21472,71079,0,0,0,10784,27623,43348,33109,19058,24980,21162.651479283086,19431.0784453856,18595.945502324397,18180.255931000916,17969.96793049687,17862.699017986746,17807.74595951754,17779.531872211734,17765.02973169203,17757.571233912597,17753.734153574776,17751.759833967528,17750.74389288145,18274.516537248863,0.07215176311841237,-0.21951251529910434,-0.14736075218069197,False,368.4153682683734,0.9903556573091304,High Risk,23756.871498423523,0
62,1250,773,536,500,435,464,251,215,153,385,271,269,502,656,1396,2066,2827,2938,1727,0,1752,2277,1939,2264,2211,2908,4452,4247,4087,4392,4339,2357,3125,3136,3698,3344,1759,1656,1762,1795,2176,2800,2129,1467,1552,1506,1354,1679,1035,1005,161,1129,1027.9264394585628,1017.0521386743221,1015.8377818763122,1015.7014574943449,1015.6861446119894,1015.6844244508585,1015.684231216413,1015.6842095093873,1015.6842070709241,1015.6842067969988,1015.6842067662269,1015.68420676277,1015.6842067623821,1016.744450880884,0.004011001162911168,-0.15373374388160402,-0.14972274271869285,False,367.3217162617284,0.9905623487948788,High Risk,1321.7677861451493,0
66,1978,42665,39700,55542,28822,51049,58007,71972,44111,73102,64164,74321,47455,66947,118417,88059,152965,88568,106017,111211,97117,115997,129845,202320,193183,184520,211470,262360,227871,218648,220604,148554,85430,59749,38646,35322,25028,15650,15468,20712,14311,15755,9388,13724,14710,15294,12470,15895,17362,17735,14896,16625,15206.637202046722,16550.943466905635,15272.093378201811,16483.595633471923,15331.321352568615,16423.13907920462,15384.892121688155,16368.847867375614,15433.328421242712,16320.076422992313,15477.108013501842,16276.249920226952,15516.666914285996,15849.607676439457,0.06257722843216978,0.011400155221737533,0.07397738365390732,False,470.8996468918875,0.9296945690550702,High Risk,20604.489979371294,0
67,4850,25662,14671,16957,5944,28123,5610,3151,996,0,0,0,0,4724,12179,5288,8439,4105,5907,56284,53330,21922,57350,129626,110585,87288,105043,157217,107026,96313,84804,51370,7588,0,0,6311,2854,2813,3822,3565,899,15611,4569,0,0,0,141,4712,5613,5692,1223,3401,4148.55995455832,3689.9386860781005,3954.2316635427724,3795.964250469687,3888.6366185227434,3833.6446746184497,3866.021999033572,3846.870675905413,3858.1677944157086,3851.492980823912,3855.4329781368174,3853.105971452047,3854.479870222257,3868.9652398292146,0.015272738590639764,-0.07673397923772424,-0.06146124064708447,False,408.18867457385585,0.9788807836605931,High Risk,5029.654811777979,0
68,1115,3068,1661,2036,1496,2414,2889,2476,1257,1957,1488,910,497,959,4416,3731,2508,1620,5504,6815,6595,3647,6986,8100,16386,15968,19402,18742,18901,19356,19742,14721,12242,9571,8189,3167,609,1864,1132,1746,1938,1288,783,1751,1499,1484,921,1812,2127,1612,961,2241,2006.1984482004832,1938.2182392871414,1917.6019930724376,1911.2513233920133,1909.2855665613993,1908.6761822848919,1908.4871853927991,1908.428560679787,1908.4103751385637,1908.40473385721,1908.402983884969,1908.4024410283466,1908.4022726294272,1919.2438696468819,0.007574439001314941,-0.18339235192780012,-0.1758179129264852,False,355.239095776021,0.99257329141548,High Risk,2495.0170305409465,0
72,19123,24673,22382,21590,17122,33862,23181,22613,18844,26196,25318,28342,28142,37739,57494,69981,59553,30021,35805,11521,29593,31032,36369,35377,35871,25870,30710,18217,18920,20609,15595,14313,13005,9840,18791,34613,22254,19959,18002,19864,11433,6438,18521,29385,22313,13790,10220,22075,40579,24036,1516,22474,16223.95156461846,15371.389660572338,15234.57095528807,15212.02777937369,15208.297217179463,15207.67941953971,15207.577097307952,15207.560149936724,15207.557342977516,15207.556878066234,15207.556801063854,15207.55678831009,15207.5567861977,15300.833726187062,0.06041044381336803,-0.1608407270513362,-0.10043028323796818,False,390.1451765407825,0.9851836456125692,High Risk,19891.083844043183,0
73,0,0,0,0,0,0,234,0,0,664,1321,1580,2799,3093,3078,2586,2931,4492,2894,3598,3369,3532,4038,4384,5239,6116,7747,7286,7692,7598,7281,6948,6615,6526,6052,5407,5707,5037,5204,5482,5260,4372,5144,4553,4371,4774,4391,4360,4545,3179,2483,2595,2707.6517157461803,2715.5334398055106,2716.0783291871344,2716.1159447396135,2716.1185412088766,2716.118720432781,2716.118732803887,2716.118733657815,2716.1187337167576,2716.118733720827,2716.1187337211068,2716.1187337211263,2716.1187337211286,2715.4190635525188,0.010718065194272548,0.14790417935090266,0.1586222445451752,False,510.092023184926,0.8579247489563878,High Risk,3530.044782618275,0
74,1264,1303,1360,1254,640,1215,782,900,805,1912,4128,5064,6066,8938,11393,13855,11549,12001,12749,9758,11422,10511,10406,10763,10066,8209,7623,7137,7359,5805,7838,6130,4829,3443,4154,2187,1968,1760,1269,2657,1412,3572,4623,3224,1507,1359,951,1068,1363,2742,2161,2484,2291.180795642568,2443.9156919466536,2321.7377167114996,2418.319366882004,2341.245707087337,2402.2921819583926,2353.6504339600374,2392.2249059255482,2361.518538436964,2385.8886167958235,2366.501223244599,2381.89555257082,2369.6534767882777,2371.5403236885018,0.009360290897720044,0.04356163358017361,0.05292192447789366,False,461.15052012435604,0.9414196451310981,High Risk,3083.0024207950523,0
76,2675,2196,1955,1935,1134,2098,2107,3987,0,0,0,0,0,0,0,0,7091,5533,6916,7300,6367,4738,15753,21098,30266,29685,17678,4661,3082,3172,3556,7834,9209,5516,4155,4726,6350,6474,6184,8103,3034,3917,5024,3546,2984,1571,703,1327,1603,1580,1056,1686,1640.9604775995904,1664.7478056653624,1652.332686591249,1658.7785099334608,1655.4227399536599,1657.1673139076615,1656.2596869183596,1656.7317049447884,1656.4861794748174,1656.6138790291006,1656.5474579864365,1656.582004942317,1656.5640360943937,1655.7841910031689,0.006534192139930396,0.07972936738408708,0.08626355952401747,False,476.58840841661083,0.9218845279247041,High Risk,2152.5194483041196,0
77,13961,12151,11343,9150,7276,9589,7655,6149,3416,5193,3604,6671,7071,6108,9115,8213,9065,8997,8043,7591,11338,11456,12532,10594,18800,9809,23021,24391,31088,22004,13726,10164,5430,0,6639,14960,15158,19349,9485,4906,4600,16250,13405,2718,2659,3545,2884,2244,3359,4553,2188,477,2888.240295678476,4198.256310203367,4537.786956315313,4611.76269484786,4627.295230984103,4630.531466783505,4631.204659747676,4631.344648691009,4631.3737570485455,4631.379809556741,4631.381068052527,4631.381329730925,4631.381384141578,4454.870739367817,0.017586133794416686,0.17271750604377115,0.19030363983818782,False,524.7611850541534,0.8182857639758203,High Risk,5791.331961178163,0
78,17628,14186,13032,14565,11194,13505,19685,38107,16829,36622,22304,32771,31123,35484,52578,72864,64498,77752,128501,75271,107956,143793,158814,179963,228770,182948,222258,170339,193245,190816,161408,156530,124140,119826,69115,73673,49087,55924,45179,65684,53196,53385,27542,24933,31829,43840,36094,42104,47462,34849,22163,25632,23664.956245857025,25116.408202075236,24026.704015337316,24834.08463864814,24229.942885783425,24678.699904688972,24343.530510017783,24592.84430893268,24406.82860967355,24545.30290937411,24442.045258487036,24518.945733118195,24461.62087232114,24450.91646879343,0.09653872311365974,0.05124679527633951,0.14778551838999926,False,505.074387798841,0.8697230483464471,High Risk,31786.191409431463,0
79,20709,12049,12751,11328,8041,5769,3908,3744,2253,5556,3755,5672,4476,5204,5454,7295,11971,12888,19103,26656,37016,37838,51560,44050,56603,55745,71974,59862,61941,42491,35290,32664,31242,28584,33451,24382,16867,20766,21386,24840,22458,17093,19791,16957,13446,14657,17739,22799,16414,21048,14666,13670,12897.977931581663,13484.09939977326,13034.251771168652,13376.32944131495,13114.354028789543,13313.904285454533,13161.27545357748,13277.648907849627,13188.705062252133,13256.55990746929,13204.72113874446,13244.28182552701,13214.066459854455,13212.936585642852,0.052166569613999306,0.04923063133487302,0.10139720094887233,False,483.5956072372071,0.911176701383466,High Risk,17176.81756133571,0
81,17665,14651,9156,2416,10730,26376,18090,15838,3852,5800,7588,31090,12575,19208,51642,89712,72679,28603,29874,38047,64518,75865,50065,47012,46685,46370,20656,13769,18907,22662,16454,17671,11002,21136,16238,3311,7331,17512,12254,12117,12183,10270,3198,259,0,0,0,8904,3403,35825,14441,12648,12567.628521690734,12551.863560085902,12548.799743628702,12548.20395137681,12548.088079520718,12548.06554382363,12548.06116087927,12548.060308444217,12548.060142654827,12548.060110410579,12548.060104139424,12548.060102919746,12548.060102682539,12549.928571712082,0.04954874206211429,-0.16565851909636672,-0.11610977703425243,False,382.8852364277292,0.9871603604253263,High Risk,16314.907143225708,0
82,10421,15885,14585,19206,20945,43037,48980,49676,23733,68809,45027,49947,47300,48819,68794,74898,80161,77444,111064,118749,151940,160211,220889,212281,207321,202654,240896,237772,218673,181036,184125,131812,80976,28552,3312,1222,1256,974,488,982,686,754,839,1697,983,619,731,338,1574,965,703,1868,2060.3046114247154,2228.08615688762,2372.7237121508065,2495.6950211742187,2599.088391593601,2685.24662625063,2756.5284863839124,2815.1629065317156,2863.170562157169,2902.3311060526266,2934.179357122547,2960.01842792558,2980.9416297791063,2665.6520765718647,0.010521564719233248,0.2872576436981774,0.2977792084174107,False,574.5246660465323,0.6246908214078638,High Risk,3465.3476995434244,0
85,4879,3459,3281,3022,2704,3043,3012,2916,1845,3770,2611,2876,2675,2365,2706,2422,2247,1583,2403,1599,2413,2314,2762,2830,2752,2566,3076,3266,5672,5334,5576,5154,4391,3425,3203,3584,2980,2605,1842,1988,2090,478,769,1588,568,524,657,915,677,1091,463,1520,876.3648715060765,1010.738861329079,974.1120915057361,983.4596753336214,981.0325063396309,981.6599390018245,981.4975580869373,981.5395700824981,981.5286996917462,981.53151229405,981.5307845582422,981.5309728531522,981.5309241335689,975.2352282089357,0.0038471057280374315,0.10589746849527998,0.1097445742233174,False,487.460619134985,0.9047184517010273,High Risk,1267.8057966716165,0
86,507,0,0,45685,47568,86392,83587,96777,44134,87318,105397,112910,110949,109288,114356,115495,117976,116284,128389,125870,185118,235346,173914,149975,139261,133136,144051,173343,152381,166813,159571,132573,115625,84668,47564,31814,13158,14920,10976,4904,1784,0,2467,3601,0,0,0,0,0,69998,56427,114247,64597.83601850025,41817.03449658659,30012.93694074688,23304.90877043506,19215.768211719645,16586.411895604055,14825.613778580253,13609.415821948982,12749.347478107533,12130.10637367068,11678.115235968357,11344.742159687179,11096.894381892365,21766.856274111367,0.08594095267812735,-0.24393572750529344,-0.1579947748271661,False,363.4915889310232,0.9912522127398091,High Risk,28296.91315634478,0
87,1245,662,859,0,0,0,0,0,0,0,194,808,1276,1699,2613,5159,2189,1695,4275,4995,5218,6764,7467,7338,6830,6876,7820,8132,8221,7443,10452,10104,7884,6438,8023,6956,6039,4772,3656,3793,4200,2508,4282,5256,4833,3706,3169,3201,3592,6308,25211,57812,68026.27668196223,74337.18938437404,78022.17611432103,80108.17783723945,81269.17953885678,81909.40333873122,82260.6703394229,82452.8671851043,82557.87036258166,82615.1898936198,82646.46571044635,82663.52688035078,82672.83262667787,80118.60199182217,0.316337575993094,0.2325339258011861,0.54887150179428,True,690.7857543475645,0.139948823347325,Medium Risk,100000.0,364540
88,7232,5019,7088,9751,11896,9980,12348,54611,32409,39707,18459,28503,19308,46962,37884,26208,35872,34535,51362,47396,62104,47820,67500,68012,69095,82059,89584,79954,85017,69480,66013,60604,56454,44959,29959,22681,15474,16305,11562,1832,5417,6574,14842,19039,8070,6063,8590,25511,19438,30417,20514,25949,23447.935741246092,24983.144224287316,24011.499156717153,24614.741290938815,24235.66209288628,24472.086562326953,24323.93435956981,24416.49815553235,24358.558336073744,24394.783564495356,24372.118382098502,24386.292984275875,24377.425806442938,24338.052358222394,0.0960930893172895,0.06618511943031087,0.16227820874760038,False,511.7848126021049,0.8537478552737273,High Risk,31639.468065689114,0
90,4227,1512,2004,956,1409,778,2299,3361,1677,3119,1682,561,1427,1356,1750,701,859,1251,251,581,1276,2488,2786,1739,3142,2816,2211,6673,2427,1624,1562,2698,3368,2475,2516,2455,0,973,1203,844,1379,887,115,251,0,1332,1283,942,323,111,0,0,15.222636401158896,26.829214185325714,30.18796605472557,30.93825249366842,31.096743007705708,31.12983244706315,31.136723958485646,31.138158518216073,31.13845710928069,31.138519257030392,31.13853219219669,31.138534884464196,31.138535444820576,29.49016199647244,0.0001129163376074964,0.17536927749536793,0.17548219383297542,False,517.8985393728117,0.8378108636221753,High Risk,38.33721059541418,0
91,1810,1240,1247,1247,1247,1241,1245,1233,713,1780,1459,1251,1251,1251,1273,1273,1301,1294,1295,1465,1661,1886,2093,2037,2065,2061,2594,2279,2296,2136,2730,4361,2964,3441,3206,3267,3247,1638,1631,462,0,492,1913,1906,1288,1643,1679,1349,1062,1451,834,1225,1322.875588353211,1359.9737624316888,1373.7217577692277,1378.7558964982552,1380.5912389198568,1381.2593058241896,1381.5023427010194,1381.5907388283294,1381.622887360637,1381.634579042956,1381.6388309961737,1381.640377312546,1381.6409396637778,1374.4960189001436,0.0054235510745456825,0.19403178267981006,0.19945533375435573,False,528.9986145673511,0.8053427602142906,High Risk,1786.8448245701866,0
93,3159,2937,1556,1676,420,0,0,0,0,229,704,291,893,1035,3951,7495,10876,15557,15838,19570,15096,14338,17805,17664,15158,18541,20620,22595,20537,21692,18910,12410,13960,20003,17099,20758,14637,10810,8991,9220,7294,5563,10600,9019,10383,6103,7955,7924,8291,6250,4832,8808,6720.461515724823,7811.462622727764,7184.784672013081,7526.675288074064,7334.659014327367,7440.787591758743,7381.602826771327,7414.445144395414,7396.170183615244,7406.3236230809725,7400.677631211964,7403.815692999578,7402.071087798814,7371.072068807627,0.029100492635708734,0.07100476582099188,0.10010525845670062,False,482.9974103027564,0.9121402360481013,High Risk,9582.393689449917,0
94,333,175,170,170,208,85,85,0,0,0,0,0,0,717,603,305,1153,1252,1129,1116,1749,1173,1253,1019,985,844,3068,1758,1738,1097,1558,1471,2369,1260,1329,701,1227,1263,1687,3277,1474,1649,1920,2702,1945,2604,2831,4031,2906,3696,2405,2319,2325.5297068759687,2325.1710928534503,2325.194322240054,2325.1928174304135,2325.1929149121424,2325.192908597264,2325.192909006342,2325.1929089798414,2325.1929089815576,2325.192908981446,2325.1929089814525,2325.1929089814525,2325.1929089814525,2325.2172404463718,0.009177388367054446,-0.13080900218066133,-0.12163161381360688,False,380.32850820339905,0.9877925928190312,High Risk,3022.7824125802836,0
96,8634,11671,27151,33651,2236,13323,7832,10488,2133,3356,4006,0,332,12975,15494,42165,29272,16858,20099,21570,51464,55791,93199,89041,96226,109904,101652,103218,100189,68676,52623,49759,35497,14486,5857,20263,0,1472,2193,2430,0,0,0,0,0,0,0,1759,10481,16623,9158,9809,8282.758901572814,7989.280838779093,7928.0750119033855,7915.08800658823,7912.322209475131,7911.73272620135,7911.6070667672775,7911.580279145677,7911.574568614547,7911.573351253078,7911.573091737911,7911.573036414881,7911.573024621204,7947.7163163903515,0.031377320618538644,-0.1680165459040799,-0.13663922528554126,False,373.37966393955963,0.9893596729875328,High Risk,10332.031211307458,0
97,0,0,59314,88944,59774,113766,112803,109226,63042,121445,119597,119632,84285,102913,108485,111466,121399,95573,115108,114243,111736,101901,146052,149701,160876,155028,174807,176214,163995,143059,152157,98600,118309,117950,81560,81481,88195,75188,65913,71682,39756,66598,71698,61763,66669,60204,32947,30925,28087,42003,33067,62766,77754.25817795719,65367.02544049799,75238.1663296647,67133.10096781648,73630.01590306326,68318.97683790876,72592.50038661015,69109.25830263525,71919.0077044053,69633.29801247975,71480.04817201824,69979.65771503391,71193.18986008613,71026.80798539825,0.28043944452863057,-0.05075022170906415,0.2296892228195664,False,542.9975501739422,0.7576886347103873,High Risk,92334.85038101774,0
99,833,84,83,0,1132,1772,1808,1594,1180,3314,1697,2765,3489,4178,4132,4410,3891,3044,4121,5070,6841,6034,6824,5859,6113,5528,6606,5357,6330,5726,5702,3703,2905,1997,1109,1241,1297,2715,2276,1876,1010,176,0,1533,1078,440,914,1462,1666,320,0,1023,295.42173303445435,251.75433517489614,246.62583827560476,245.97356706152962,245.88976225318706,245.87898084892734,245.8775935996823,245.87741509770672,245.87739212919982,245.8773891737564,245.8773887934684,245.87738874453532,245.87738873823892,250.2066286865529,0.0009843954683504564,-0.15482160645178786,-0.1538372109834374,False,365.41662968258237,0.990911968815414,High Risk,325.2686172925188,0
100,73831,22581,4902,3352,215,1630,4550,0,0,1977,3404,2300,3858,8219,4726,5851,280,5101,10572,16805,8617,22638,75490,63564,57107,54497,82429,97183,79738,68921,48311,39718,21605,54369,14271,15534,5116,7261,4717,8107,289,1981,4612,10863,1940,3695,0,0,4632,5332,0,1103,391.3087266408785,295.42575221359306,273.7582609450252,268.1651255518438,266.6691724301656,266.265210414684,266.1558427109301,266.1262119564061,266.1181826322914,266.1160067386229,266.1154170776044,266.11525728053385,266.1152139757722,278.80418312064245,0.0010973103416869773,-0.1727788921836715,-0.17168158184198454,False,357.15430530710626,0.9922855359818881,High Risk,362.4454380568352,0
102,2809,2814,2682,2051,2197,1898,1856,1586,799,2141,1668,1876,1681,2053,2476,2206,2961,3117,3050,2549,2862,3463,2735,3048,3134,2685,3041,3160,2779,2280,2537,3017,3024,3254,2884,2632,2915,4404,3890,3654,5450,3968,3575,3599,3004,2870,0,2693,2513,2703,2790,2539,2301.8362647696426,2293.090232360638,2292.7527360029517,2292.7396877380343,2292.739183229689,2292.739163722926,2292.7391629686986,2292.739162939536,2292.739162938408,2292.739162938365,2292.7391629383633,2292.7391629383633,2292.7391629383633,2293.4670314172295,0.009052025520409766,-0.14385650715705178,-0.13480448163664202,False,374.22918938896987,0.9891793167953257,High Risk,2981.5071408423987,0
103,87002,58718,56765,65630,59888,89359,80603,48379,22284,39088,12168,12306,46279,34833,0,0,39075,38430,33873,45285,32685,32583,49028,40642,42063,85831,57360,82088,57946,46174,56802,42439,29535,31960,29565,34909,24505,28907,41955,35320,15311,26030,31559,34061,37471,32408,51360,45100,64142,45153,52936,50413,44346.057585949166,47487.511442037394,45784.22224039808,46685.50354236255,46202.31424686485,46459.56126477283,46322.09374640101,46395.40790293249,46356.266547387604,46377.15173146924,46366.00437646785,46371.95325917995,46368.77831339272,46270.98663073968,0.18269330896150363,0.07641918028447243,0.2591124892459761,False,556.6211502060279,0.7042412712419865,High Risk,60152.28261996158,0
105,3612,2338,1518,1850,1565,1355,1719,2161,1044,2190,974,1164,1343,1194,797,1186,1238,1640,1227,76840,82972,99892,82196,64099,3214,3385,3529,3254,12417,6048,6284,6846,4543,4721,4417,2577,2532,3200,1808,1772,1758,1572,1794,1958,2523,2300,2542,2216,1943,2085,1788,3649,3483.43790572999,3637.7736343457864,3494.3032072472884,3627.2736224511973,3503.6906935729926,3618.252302683403,3511.798110318823,3610.4985452016836,3518.797585410766,3603.832108187528,3524.838727437413,3598.0989296822804,3530.051408357362,3558.6651369712704,0.014047546524259854,0.017436873195449155,0.03148441971970901,False,451.2244981022293,0.9514554087150457,High Risk,4626.264678062652,0
106,1203,2031,2178,2565,2836,3205,4604,4833,3108,7804,7320,7647,8499,8068,9420,8524,7957,6921,6935,6646,6783,7987,7880,7461,7672,8026,8272,8351,8441,7671,7512,7148,6707,6329,4859,5028,5333,5132,5086,4284,3691,4227,2909,3024,3176,4119,3836,3755,2687,2945,2939,3359,3261.2759451708826,3289.8187535737075,3281.4529655906226,3283.895200840098,3283.181405145589,3283.3899563016234,3283.3290174235412,3283.346823313776,3283.3416205199615,3283.3431407470307,3283.3426965449157,3283.342826338338,3283.342788413407,3282.031010763346,0.012955281540786578,0.10453282901286597,0.11748811055365255,False,491.04604164618934,0.898355018666874,High Risk,4266.6403139923505,0
107,819,1408,1390,449,199,440,177,287,44,90,0,0,0,0,109,264,88,980,1362,3037,1802,1712,724,1015,1777,1842,1261,2550,1793,1902,1489,2453,1661,893,2549,2943,2016,1987,2032,1783,432,2014,2757,3314,3080,3077,3593,4889,4217,4177,3380,4660,4464.114283351197,4529.371325205761,4507.3228105208145,4514.724643525197,4512.2344139278275,4513.071602940261,4512.790079919052,4512.884740372237,4512.8529104733825,4512.863613285409,4512.860014450737,4512.861224562376,4512.860817661028,4510.06249847656,0.01780405349462555,0.09958793536276472,0.11739198885739027,False,491.00153525028804,0.8984362703497407,High Risk,5863.081248019528,0
108,26931,20413,27911,19812,17050,10293,6570,5664,3413,8001,10512,12084,10461,8191,31378,46178,43166,34826,50959,42340,77874,89111,105181,139660,141012,157569,169350,163341,136570,101822,78753,30814,55089,21581,8050,13388,12999,8117,6999,3297,2637,4480,3455,3034,472,810,3187,1193,2191,593,0,2141,57.77782778169214,191.49496634895556,128.6951009028644,146.82676825506724,140.54644603973554,142.59903424882663,141.91496885286264,142.14148250696638,142.06631661579692,142.0912418386175,142.0829746181857,142.0857164832742,142.08480710643104,138.64674243071352,0.0005439112844651777,0.06825283730640505,0.06879674859087023,False,468.5009023409539,0.932766417646714,High Risk,180.24076515992758,0
109,27741,15202,19718,21862,0,51163,64134,25779,22790,62187,48715,47702,77658,96160,177128,167836,180373,202893,97967,24013,279953,231316,210984,168955,100622,96148,186651,309034,315912,234407,272171,117516,46504,57103,49399,94674,33992,51269,121013,66626,40754,54797,64391,16887,9293,9084,10033,7076,28427,22360,11643,13865,15607.480808027787,15553.86335759756,15555.420317353428,15555.375028068655,15555.376345390267,15555.376307073499,15555.376308188004,15555.376308155592,15555.376308156532,15555.376308156503,15555.376308156503,15555.376308156503,15555.376308156503,15559.27125543364,0.06143086116924847,-0.13521444180486955,-0.07378358063562107,False,402.48316829082404,0.981115276262008,High Risk,20227.052632063733,0
111,0,0,0,0,0,0,1658,2217,1619,4762,4322,4439,5353,6911,6243,6214,6127,6206,6489,7971,9585,10400,10669,9228,8416,8375,8415,8175,6909,6547,4616,5341,4300,4835,5253,4493,4664,4663,4958,5158,4691,4180,4125,3728,4230,4309,3575,3662,2833,2962,2781,4294,4252.857667983187,4290.959788547944,4256.479649709777,4287.656830607319,4259.445525020968,4284.956172933689,4261.87380313945,4282.7477039720525,4263.861700574778,4280.941535392951,4265.488929355485,4279.464257270499,4266.820823753972,4271.81187602016,0.016863342325808148,0.024116825407686268,0.040980167733494416,False,455.6212320022143,0.9472288139079702,High Risk,5553.355438826208,0
112,26865,71338,70185,39045,92650,259140,155291,125512,27469,163769,156106,115740,126125,203922,347341,392613,258538,288536,170420,182772,384877,418126,506165,528588,443519,516442,408103,399485,479432,491632,462508,243361,14443,12067,30486,45117,37510,34419,27759,8765,1236,21793,18838,0,0,0,0,3813,10616,17701,4334,33262,112830.98205087877,49015.10190723904,86596.33049054608,58719.281734175325,76550.61823180596,63875.553272569196,72276.45854053955,66430.40194996024,70367.25764648196,67655.48134414697,69494.97659961153,68233.99437735045,69092.24079339404,71626.05222605378,0.28280550655282244,-0.09231323735096547,0.19049226920185697,False,524.8485244734991,0.8180258822998009,High Risk,93113.86789386993,0
115,826,584,458,416,251,211,172,0,0,0,0,0,0,0,278,429,1033,1469,1773,2770,3139,3974,4620,4527,4422,4267,3673,3966,4133,3990,4430,4349,3766,4038,5137,4473,4396,3953,3473,3693,3107,2774,2926,2361,2187,2493,2431,2112,1232,1562,1123,770,768.0900634074147,765.3756197754974,762.8429445410407,760.4793493897638,758.2730952584467,756.2133136569225,754.2899354020377,752.493625966738,750.8157267435814,749.2482016054208,747.7835882184968,746.4149536263392,745.1358536779237,755.1889439438172,0.002978272752363477,-0.2980975912063118,-0.29511931845394834,False,300.0,0.9975273768433653,High Risk,981.7456271269623,0
116,7722,6577,4742,4489,4041,4974,6489,5457,4395,22180,20244,21383,25894,26811,25831,25869,29600,31913,28265,29987,29716,28565,32123,32524,36604,39160,38866,31332,35146,37297,32112,31860,33072,32187,26419,26569,24856,21636,21523,16446,11065,10760,17096,16214,12630,10714,14749,9701,8846,9922,5101,12602,10360.975489969587,10426.598127658352,10424.476583028541,10424.544955583882,10424.542751868035,10424.542822895759,10424.54282060647,10424.542820680264,10424.542820677894,10424.542820677967,10424.542820677967,10424.542820677967,10424.542820677967,10419.806190436972,0.04113814529492172,0.13480329894616616,0.17594144424108787,False,518.1111821088024,0.8372321389164923,High Risk,13545.748047568064,0
118,19738,7775,20640,26173,28719,70992,93975,78330,45926,103218,55309,37270,47364,38594,57216,65336,71837,63829,64495,72230,90614,58413,69638,87071,74993,101847,62153,52201,54093,81866,64084,30367,14714,1642,0,0,5410,6952,3950,4675,0,2091,11307,3851,1972,646,2512,2541,5242,5143,2060,8872,5188.603808613675,4026.118623664078,3571.122832483495,3374.2891016560384,3285.047141972492,3243.682113144613,3224.3078652395507,3215.188706654059,3210.886460966396,3208.854509683126,3207.8943197093517,3207.440474470119,3207.2259341796325,3474.666299418202,0.013715884663992057,-0.20562791935085825,-0.19191203468686618,False,347.7871740704718,0.9935950367517219,High Risk,4517.066189243663,0
119,7219,7483,6447,7311,7359,8137,16568,19161,11641,27559,18685,18313,15587,19306,18095,16419,17108,12016,15152,12623,11555,9741,9401,11161,10961,8419,7865,6804,6594,6753,7935,7398,5546,2135,4667,4609,4479,3642,3142,1966,1472,311,0,1074,1228,1661,1973,488,554,1071,168,0,13.659894683466682,33.3989843444839,45.3434289742129,50.34092119926936,52.17335931874133,52.815177941512744,53.036465726610324,53.11235146820965,53.13832681945783,53.14721245579362,53.1502513941249,53.15129065165027,53.15164604844348,47.66302392507516,0.00018467024955684118,0.20809457840506926,0.2082792486546261,False,533.0842754037885,0.7922126236035166,High Risk,61.9619311025977,0
