,Week1,Week2,Week3,Week4,Week5,Week6,Week7,Week8,Week9,Week10,Week11,Week12,Week13,Week14,Week15,Week16,Week17,Week18,Week19,Week20,Week21,Week22,Week23,Week24,Week25,Week26,Week27,Week28,Week29,Week30,Week31,Week32,Week33,Week34,Week35,Week36,Week37,Week38,Week39,Week40,Week41,Week42,Week43,Week44,Week45,Week46,Week47,Week48,Week49,Week50,Week51,Week52,forecast_week_1,forecast_week_2,forecast_week_3,forecast_week_4,forecast_week_5,forecast_week_6,forecast_week_7,forecast_week_8,forecast_week_9,forecast_week_10,forecast_week_11,forecast_week_12,forecast_week_13,Mean Forecasted Revenue,Value Score,Stability Trend Score,Farmer Rating,Eligibility,Credit Score,Default Probability,Risk Category,Recommended Loan Amount,Loan Amt.
28,685,239,0,0,0,0,0,0,0,0,219,1545,1014,1610,4674,4985,4726,5438,5271,4581,5355,5876,6541,7035,7059,7879,8365,9021,8753,7982,6980,6247,5651,5660,4922,4525,3630,5415,3654,3390,3811,3068,3734,3578,3380,2816,2704,2911,2974,2467,2146,1789,1598.6584102700938,1722.7375922242666,1639.6611537149429,1694.1306694026953,1657.9160862460972,1681.7736276769965,1665.9607340226676,1676.399570088595,1669.490050511152,1674.0554676415602,1671.0353912447065,1673.0316723219123,1671.7114528158265,1668.966298321655,0.00658624050587042,0.06150257812942454,0.06808881863529496,False,468.17311566949064,0.9331763842652824,High Risk,2169.6561878181515,0
29,160209,288541,245615,103816,88117,18287,39473,30531,9230,130717,137500,192348,268228,256716,218148,144185,189496,114855,196919,174548,233122,134728,172427,131040,135308,98721,143354,116542,150964,143779,142445,126220,112735,64815,87083,115775,146783,104644,10722,5364,11207,0,0,0,0,961,436,0,1046,957,0,381,105.78886454710069,96.48562116300164,95.8509726966256,95.805633922071,95.80238430063383,95.80215133171822,95.80213462963998,95.80213343222808,95.80213334638276,95.80213334022832,95.80213333978713,95.80213333975549,95.80213333975318,96.62696636376356,0.00037799997539978504,-0.1478372653761593,-0.14745926540075951,False,368.3697545459327,0.9903643668461249,High Risk,125.61505627289263,0
30,68938,88902,81717,70308,35725,224862,506979,623627,336218,667226,576925,566852,535939,693865,648699,620583,825393,525817,616135,659289,667842,507179,622178,662226,596386,411353,353841,294076,426354,338551,382925,330501,275243,159035,45225,26585,0,0,9165,8895,6839,18725,11630,0,0,30778,18301,20448,20471,23328,16742,69206,468483.5446770116,164619.2231893178,291664.8636532066,213321.90916139347,253121.65859985555,230514.88689590344,242615.85138550578,235921.34710930288,239559.26506365818,237562.83973210954,238652.588229832,238056.00116395566,238382.08178612293,253267.389280552,1.0,-0.10726908089469753,0.8927309191053024,True,850.0,0.0066928509242848554,Low Risk,100000.0,1152367
31,1184,556,489,126,0,0,9939,21588,13487,39463,31485,40841,53008,21985,5956,4029,4881,4732,4758,5598,7461,7483,8741,13223,13277,14762,14704,7590,6311,6520,6537,6066,5153,2615,2926,2763,2970,2966,2032,3009,1966,2521,3203,2807,6643,8480,7974,7361,6346,1995,2824,1553,802.3579301846659,1085.350074778774,945.3844704860454,1006.9590748408827,978.3359808936239,991.3148462602181,985.3620597542148,988.0781349419373,986.8359152881774,987.4034366422876,987.1440293671573,987.262574391904,987.2083955582946,978.3843787221678,0.003859539865793468,0.07763231679258654,0.08149185665838002,False,474.37900819668647,0.9250079230791585,High Risk,1271.899692338818,0
32,47313,260600,455277,393747,309626,247768,266480,224656,130100,381917,370325,329635,361865,494830,927472,622467,451606,321065,364764,359381,347423,295072,271228,326396,329426,218596,225180,148730,102349,103822,114302,98629,133850,49899,58720,80866,54532,100014,68320,52901,2338,4889,3149,0,0,0,0,0,43349,76395,71221,65841,63874.54054315638,64548.09997802289,64314.39984611358,64395.11183291127,64367.1921324139,64376.84471920917,64373.50692475954,64374.66103366702,64374.261968418105,64374.3999552363,64374.35224270306,64374.36874053752,64374.36303598549,64345.85407331803,0.25406029849051975,0.09864098777536397,0.3527012862658837,False,599.9547597246114,0.5002262013615107,High Risk,83649.61029531344,0
34,2000,0,647,8344,3273,0,8025,19233,7153,14494,19883,16054,17957,38002,26632,33937,79391,40485,76220,77328,111740,62633,99756,77265,90544,57367,79355,81786,86650,97211,115352,133004,78746,36864,8088,9627,9803,2384,0,3631,0,2708,2036,632,8955,10223,3389,1904,10469,3378,1645,4413,2954.894033027242,3314.09178679423,3207.1719771187422,3237.3789966056047,3228.71510088078,3231.1893908533543,3230.4818973735464,3230.6841254941564,3230.6263153148934,3230.642840814733,3230.63811683027,3230.6394672267515,3230.6390812026457,3214.445625348996,0.012688426721048416,0.10319972876422906,0.11588815548527748,False,490.3052283182277,0.8996999778172468,High Risk,4178.779312953696,0
35,31883,30625,32996,29390,9280,20319,15127,16941,8639,22866,13360,17460,19834,28244,36040,26700,18882,5928,12307,21588,30134,28824,27121,27871,64070,19994,14403,12013,13174,20440,34234,62327,27132,18083,17134,28605,64731,38588,36324,12698,10852,0,0,0,0,4133,5283,3084,1785,655,555,386,284.09268872605355,372.40994499720375,293.81565778529875,361.59571189843376,301.49625602024884,353.516350704923,307.5216313426988,347.44343448349264,312.22345830696884,342.85736433294267,315.8775557889528,339.3817210234424,318.7085361483314,326.99540858146094,0.0012875890639945575,0.0208951321435703,0.022182721207564857,False,446.917613261097,0.955282737100865,High Risk,425.0940311558992,0
36,4178,5301,6730,6527,6535,7820,7283,7790,5369,12633,9805,9148,9173,9795,9265,9646,8092,7791,8239,9020,9477,9169,9009,9370,9831,9616,9837,8570,7661,6650,6159,5278,3908,3291,2476,1987,1884,2560,1916,2104,1718,1372,979,938,666,538,615,583,493,1235,1797,2084,2230.4644597525016,2352.783219924135,2454.3551804833196,2537.864314129542,2605.9839861900805,2661.204661644439,2705.7482844593583,2741.539027968811,2770.207926590148,2793.115891350305,2811.38506898104,2825.9324256482737,2837.502091126807,2640.6220414037507,0.010422735875070014,0.28396280571679605,0.2943855415918661,False,572.9533259103509,0.6320295426605687,High Risk,3432.808653824876,0
38,0,202,1402,636,43,204,0,936,1381,6886,1871,815,1138,1956,7863,7914,6974,13998,17000,17487,17142,10254,14186,16033,16087,11105,16720,18502,19739,15227,22141,17603,18421,10872,7056,4404,4614,1698,1648,1887,1470,1324,1282,3044,1050,1589,1760,2830,434,843,655,1506,980.7744853602098,1425.3987669777575,1029.4674311919423,1366.5333765917264,1067.9597898459456,1323.5615415468073,1098.0765212648064,1291.908496994229,1121.4567845829313,1268.4334511287673,1139.5002767130313,1250.933421600918,1153.3628560123009,1193.643630754721,0.004709471674955309,0.017980983158889886,0.022690454833845197,False,447.15270476137573,0.9550814555647364,High Risk,1551.7367199811374,0
39,338,43,0,0,0,0,0,0,0,0,0,309,310,920,875,1023,1203,1110,1296,2163,2200,2653,3922,4274,4319,3877,4119,3697,3107,3192,3356,3351,3284,2681,2947,2459,2915,2886,2262,2386,2432,1620,1802,1754,2335,2017,2195,1973,1781,1980,1762,2166,2225.06451934671,2262.979789307502,2287.545229895753,2303.381973116302,2313.558995530558,2320.0856326968715,2324.265783129804,2326.9408365616578,2328.6518040262977,2329.745768608893,2330.445079576739,2330.8920482382296,2331.1777054872123,2308.8257819632713,0.009112668166497232,0.2503952457276555,0.25950791389415273,False,556.8042402535948,0.703478001198678,High Risk,3001.4735165522525,0
